index,STORY,QUESTION,OPTION-A,OPTION-B,OPTION-C,OPTION-D,ANSWER,TASK
320,"Dad sits on the sofa reading the newspaper, Xiao Ming eats dinner at the side, seeming a bit distracted. Xiao Qiang is Xiao Ming's older brother, he notices his younger brother's mood. At this moment, mom walks in and gives dad a cup of tea, and glances at Xiao Ming, Xiao Qiang catches mom's look. Then Xiao Qiang and mom make eye contact, points at Xiao Ming, and then leaves the room. Dad sees the eye contact between Xiao Qiang and mom, watches Xiao Qiang leave the room, picks up the newspaper again, his eyes occasionally glance at Xiao Ming.",Why does mom look at Xiao Ming after she gives dad tea?,Mom just casually looks at what Xiao Ming is doing.,Mom possibly asks dad if he notices that Xiao Ming eats too little.,Mom hints that Xiao Ming should put down the spoon and talk to dad.,Mom senses Xiao Ming's distracted state.,D,Ambiguous Story Task
321,"One night, Xiao Fang comes to her mother's house with her two-year-old son. At the dinner table, the mother talks about parenting philosophy, and the elder brother suddenly asks Xiao Fang, ""Do you also use mom's method to educate your child?"" Xiao Fang pauses slightly and answers lightly, ""Every child has their characteristics, I try to find a way that suits us."" The elder brother advises Xiao Li, ""You learn more from mom, so your child is definitely excellent in the future.""","If there is, which sentence is inappropriate?",Do you also use mom's method to educate your child?,"Every child has their characteristics, I try to find a way that suits us.","You learn more from mom, this way your child is definitely excellent in the future.",There is no inappropriate sentence,C,Faux-pas Recognition Test
322,"Xiao Hong is supposed to help her club prepare for this event, but she goes to visit a friend instead.",What kind of emotion does Xiao Hong's friend have?,Angry,Proud,Grateful,Regretful,C,Discrepant emotions
323,"Li Lei and Xiao Ming are wandering in the office, they see the storage locker and the cabinet, they find beetroot in the storage locker, Xiao Ming leaves the office, Li Lei moves the beetroot to the cabinet.",Where is the beetroot now?,Cupboard,Suitcase,Cabinet,Storage locker,C,False Belief Task
324,"In a farm, farmer Xiao Wang is checking different types of vegetables. He says to his assistant Xiao Li, ""We plant 40 different kinds of vegetables, most of them are tomatoes, some are carrots, but there are almost no eggplants."" After careful inspection, Xiao Li finds that there are only 5 carrots.","Before Xiao Li carefully inspects, how many types of tomatoes does he guess?","Before Xiao Li carefully inspects, he guesses there are 20 types of tomatoes.","Before Xiao Li carefully inspects, he guesses there are 35 types of tomatoes.","Before Xiao Li carefully inspects, he guesses there are 39 types of tomatoes","Before Xiao Li carefully inspects, he guesses there are 25 types of tomatoes",B,Scalar Implicature Test
325,"Youyou finds a basket in the classroom, the label on the basket is a button, Youyou cannot see what is inside the basket, Youyou opens the basket and finds tomatoes, there are no buttons in the basket, Youyou closes the basket and puts it back in its place, Lilei enters the classroom and sees the basket.","After Lilei opens the basket, what does Lilei think Youyou expects to find in the basket?",Cup,Tomato,Tie,Button,D,False Belief Task
326,"Wang Lei is a programmer, he posts his new algorithm on a well-known tech forum. This algorithm is widely considered a major breakthrough in the field.","Wang Lei's algorithm is widely recognized, he should feel proud, but he actually feels worried, why is this?",Wang Lei worries that his algorithm might be surpassed by other competitors.,Wang Lei thinks his algorithm is not a major breakthrough in the field.,"Wang Lei's colleagues do not congratulate him on his success, this makes him feel uneasy.","The algorithm involves confidential content, it needs approval before it can be posted, but Wang Lei forgets.",D,Unexpected Outcome Test
327,"Han Meimei finds a cabinet in the rest room, the label on the cabinet is carrot, Han Meimei cannot see what is inside the cabinet, Han Meimei opens the cabinet and finds a tie, there is no carrot in the cabinet, Han Meimei closes the cabinet and puts it back in place, Zhang Wei enters the rest room and sees the cabinet.","After Zhang Wei opens the cabinet, what does Han Meimei expect to find in the cabinet?",Book,Cup,Carrot,Tie,D,False Belief Task
328,"A toy store has 30 different toys. The owner tells the assistant that most of them are toy cars, with only a small part being dolls and board games. After checking, the assistant finds that only 5 types are doll toys.",How many does the assistant guess are toy cars after checking?,"After checking, the assistant guesses there are 20 toy cars.","After checking, the assistant guesses there are 29 toy cars.","After checking, the assistant guesses there are 15 toy cars.","After checking, the assistant guesses there are 25 toy cars.",A,Scalar Implicature Test
329,"On Saturday afternoon, Xiao Li gets two complimentary tickets for a newly released romance movie and invites her good friend Xiao Min to go to the cinema. Xiao Min looks at the movie introduction and says, ""I don't really like this kind of movie, I don't know any of the male and female leads, this movie looks very boring."" Xiao Li says, ""Actually, I think the plot seems not bad, we can chat while watching the movie, it's also quite good."" Xiao Min says, ""I really have no interest in this kind of movie, let's forget it, watching this boring movie is really a waste of time.""",Does anyone say something inappropriate in this story?,Someone in the story says something inappropriate,No one in the story says anything inappropriate.,,,A,Faux-pas Recognition Test
330,"Xiao Bei and Xiao Li are wandering in the parking lot, they see boxes and baskets, they find bananas in the box, Xiao Li leaves the parking lot, Xiao Bei moves the bananas to the basket.","After Xiao Li returns to the parking lot, where does Xiao Li think Xiao Bei looks for bananas?",Basket,Handbag,Box,Tote bag,C,False Belief Task
331,"Xiao Ming finds a briefcase in the basement, the label on the briefcase is a tape, Xiao Ming cannot see what is inside the briefcase, Xiao Ming opens the briefcase and finds a calculator, there is no tape inside the briefcase, Xiao Ming closes the briefcase and puts it back in its place, Xiao Li enters the basement and sees the briefcase.","After Xiao Li opens the briefcase, what does Xiao Li think Xiao Ming expects to find inside the briefcase?",Tape,Zucchini,Calculator,Coconut,A,False Belief Task
332,"Manager Zhang faces a promotion opportunity at the company. Although he craves this opportunity, he acts uninterested in the management position in his daily work to hide his ambition from others. He says he prefers his current technical work over management work. In discussions, he always humbly gives opportunities to other colleagues.",Does Manager Zhang tell the truth?,Yes,No,,,B,Strange Story Task
333,"Li Lei finds a briefcase in the office, the label on the briefcase is beetroot, Li Lei cannot see what is inside the briefcase, Li Lei opens the briefcase and finds a banana, there is no beetroot inside the briefcase, Li Lei closes the briefcase and puts it back in its place, Xiao Ming enters the office and sees the briefcase.","After Xiao Ming opens the briefcase, what does Xiao Ming think Li Lei expects to find in the briefcase?",Banana,Can,Sponge,Beetroot,D,False Belief Task
334,"Xiao Li and Youyou are hanging out in the laundry room, they see a handbag and a box, they find a sponge in the handbag, Youyou leaves the laundry room, Xiao Li moves the sponge to the box.",Where does Xiaoli look for the sponge after Youyou returns to the laundry room?,Cabinet,Box,Handbag,Storage locker,B,False Belief Task
335,"A big boy runs past Xiao Red. Suddenly, this boy slips and falls. Little Red finds this very funny, but she does not want the boy to know her real feelings, to avoid the boy getting angry at her.",Why does Xiao Red seem to be worried on the surface?,Because she is afraid the boy gets hurt,Because she likes this boy,Because she finds it funny,Because she avoids the boy getting angry at her,D,Hidden emotions
336,"Youyou and Xiao Wang are wandering in the kitchen, they see a cabinet and a suitcase, they find a tie in the cabinet, Xiao Wang leaves the kitchen, Youyou moves the tie to the suitcase.","After Xiao Wang returns to the kitchen, where does Xiao Wang think Youyou looks for the tie?",Backpack,Cabinet,Suitcase,Handbag,B,False Belief Task
337,"Xiao Li is an actress, she is very demanding of herself. During a stage play, she portrays a tragic character very vividly, even immersing herself into the role. The audience under the stage praises Xiao Li's wonderful performance.",What kind of emotion does Xiao Li have?,Thrilled,Angry,Sadness,Proud,C,Discrepant emotions
